,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
NB-1,run_NB_1.5,NB-1,NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NB-1,NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
NB-4,run_NB_4.2,NB-4,http://www.ebi.ac.uk/efo/EFO_0002798,acute promyelocytic leukemia,http://www.ebi.ac.uk/efo/EFO_0000224,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NB-4,http://www.ebi.ac.uk/efo/EFO_0002798,acute promyelocytic leukemia,http://www.ebi.ac.uk/efo/EFO_0000224,Yes,other
NCC-StC-K140,run_NCC_StC_K140.1,NCC-StC-K140,NA,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCC-StC-K140,NA,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Yes,other
NCI-H1048,run_NCI_H1048.1,NCI-H1048,http://www.ebi.ac.uk/efo/EFO_0002248,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1048,http://www.ebi.ac.uk/efo/EFO_0002248,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1092,run_NCI_H1092.1,NCI-H1092,http://www.ebi.ac.uk/efo/EFO_0002249,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1092,http://www.ebi.ac.uk/efo/EFO_0002249,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1105,run_NCI_H1105.1,NCI-H1105,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1105,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1155,run_NCI_H1155.1,NCI-H1155,http://www.ebi.ac.uk/efo/EFO_0002250,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1155,http://www.ebi.ac.uk/efo/EFO_0002250,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H1184,run_NCI_H1184.1,NCI-H1184,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1184,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1299,run_NCI_H1299.1,NCI-H1299,http://www.ebi.ac.uk/efo/EFO_0003043,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1299,http://www.ebi.ac.uk/efo/EFO_0003043,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H1339,run_NCI_H1339.5,NCI-H1339,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1339,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1341,run_NCI_H1341.1,NCI-H1341,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1341,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1355,run_NCI_H1355.1,NCI-H1355,http://www.ebi.ac.uk/efo/EFO_0002251,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1355,http://www.ebi.ac.uk/efo/EFO_0002251,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1385,run_NCI_H1385.1,NCI-H1385,NA,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1385,NA,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H1395,run_NCI_H1395.1,NCI-H1395,http://www.ebi.ac.uk/efo/EFO_0002252,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1395,http://www.ebi.ac.uk/efo/EFO_0002252,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1435,run_NCI_H1435.5,NCI-H1435,http://www.ebi.ac.uk/efo/EFO_0006658,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1435,http://www.ebi.ac.uk/efo/EFO_0006658,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H1436,run_NCI_H1436.1,NCI-H1436,http://www.ebi.ac.uk/efo/EFO_0002253,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1436,http://www.ebi.ac.uk/efo/EFO_0002253,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1437,run_NCI_H1437.1,NCI-H1437,http://www.ebi.ac.uk/efo/EFO_0002254,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1437,http://www.ebi.ac.uk/efo/EFO_0002254,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H146,run_NCI_H146.1,NCI-H146,http://www.ebi.ac.uk/efo/EFO_0006659,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H146,http://www.ebi.ac.uk/efo/EFO_0006659,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1563,run_NCI_H1563.1,NCI-H1563,http://www.ebi.ac.uk/efo/EFO_0002255,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1563,http://www.ebi.ac.uk/efo/EFO_0002255,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1568,run_NCI_H1568.5,NCI-H1568,http://www.ebi.ac.uk/efo/EFO_0006660,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1568,http://www.ebi.ac.uk/efo/EFO_0006660,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1573,run_NCI_H1573.1,NCI-H1573,http://www.ebi.ac.uk/efo/EFO_0002256,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1573,http://www.ebi.ac.uk/efo/EFO_0002256,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1581,run_NCI_H1581.5,NCI-H1581,http://www.ebi.ac.uk/efo/EFO_0002257,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1581,http://www.ebi.ac.uk/efo/EFO_0002257,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H1618,run_NCI_H1618.1,NCI-H1618,http://www.ebi.ac.uk/efo/EFO_0002258,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1618,http://www.ebi.ac.uk/efo/EFO_0002258,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1623,run_NCI_H1623.1,NCI-H1623,http://www.ebi.ac.uk/efo/EFO_0002259,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1623,http://www.ebi.ac.uk/efo/EFO_0002259,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1648,run_NCI_H1648.1,NCI-H1648,http://www.ebi.ac.uk/efo/EFO_0003119,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1648,http://www.ebi.ac.uk/efo/EFO_0003119,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1650,run_NCI_H1650.1,NCI-H1650,http://www.ebi.ac.uk/efo/EFO_0002260,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1650,http://www.ebi.ac.uk/efo/EFO_0002260,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Yes,other
NCI-H1651,run_NCI_H1651.3,NCI-H1651,http://www.ebi.ac.uk/efo/EFO_0002261,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1651,http://www.ebi.ac.uk/efo/EFO_0002261,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1666,run_NCI_H1666.1,NCI-H1666,http://www.ebi.ac.uk/efo/EFO_0002262,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1666,http://www.ebi.ac.uk/efo/EFO_0002262,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Yes,other
NCI-H1693,run_NCI_H1693.1,NCI-H1693,http://www.ebi.ac.uk/efo/EFO_0006661,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1693,http://www.ebi.ac.uk/efo/EFO_0006661,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1694,run_NCI_H1694.1,NCI-H1694,http://www.ebi.ac.uk/efo/EFO_0002263,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1694,http://www.ebi.ac.uk/efo/EFO_0002263,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1703,run_NCI_H1703.1,NCI-H1703,http://www.ebi.ac.uk/efo/EFO_0002264,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1703,http://www.ebi.ac.uk/efo/EFO_0002264,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
NCI-H1734,run_NCI_H1734.1,NCI-H1734,http://www.ebi.ac.uk/efo/EFO_0006662,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1734,http://www.ebi.ac.uk/efo/EFO_0006662,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1755,run_NCI_H1755.1,NCI-H1755,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1755,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1781,run_NCI_H1781.1,NCI-H1781,http://www.ebi.ac.uk/efo/EFO_0006663,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1781,http://www.ebi.ac.uk/efo/EFO_0006663,bronchoalveolar adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000308,Yes,other
NCI-H1792,run_NCI_H1792.2,NCI-H1792,http://www.ebi.ac.uk/efo/EFO_0002266,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1792,http://www.ebi.ac.uk/efo/EFO_0002266,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1793,run_NCI_H1793.1,NCI-H1793,http://www.ebi.ac.uk/efo/EFO_0002267,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1793,http://www.ebi.ac.uk/efo/EFO_0002267,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1838,run_NCI_H1838.1,NCI-H1838,http://www.ebi.ac.uk/efo/EFO_0002268,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1838,http://www.ebi.ac.uk/efo/EFO_0002268,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H1869,run_NCI_H1869.1,NCI-H1869,http://www.ebi.ac.uk/efo/EFO_0006664,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1869,http://www.ebi.ac.uk/efo/EFO_0006664,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H1876,run_NCI_H1876.1,NCI-H1876,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1876,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1915,run_NCI_H1915.1,NCI-H1915,http://www.ebi.ac.uk/efo/EFO_0006666,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1915,http://www.ebi.ac.uk/efo/EFO_0006666,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H1930,run_NCI_H1930.1,NCI-H1930,http://www.ebi.ac.uk/efo/EFO_0002270,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1930,http://www.ebi.ac.uk/efo/EFO_0002270,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1944,run_NCI_H1944.1,NCI-H1944,http://www.ebi.ac.uk/efo/EFO_0006667,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1944,http://www.ebi.ac.uk/efo/EFO_0006667,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H196,run_NCI_H196.1,NCI-H196,http://www.ebi.ac.uk/efo/EFO_0006668,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H196,http://www.ebi.ac.uk/efo/EFO_0006668,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1963,run_NCI_H1963.1,NCI-H1963,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1963,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H1975,run_NCI_H1975.2,NCI-H1975,http://www.ebi.ac.uk/efo/EFO_0002271,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H1975,http://www.ebi.ac.uk/efo/EFO_0002271,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2009,run_NCI_H2009.5,NCI-H2009,http://www.ebi.ac.uk/efo/EFO_0002273,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2009,http://www.ebi.ac.uk/efo/EFO_0002273,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2023,run_NCI_H2023.1,NCI-H2023,http://www.ebi.ac.uk/efo/EFO_0006669,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2023,http://www.ebi.ac.uk/efo/EFO_0006669,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H2029,run_NCI_H2029.1,NCI-H2029,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2029,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2030,run_NCI_H2030.1,NCI-H2030,http://www.ebi.ac.uk/efo/EFO_0002274,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2030,http://www.ebi.ac.uk/efo/EFO_0002274,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2052,run_NCI_H2052.1,NCI-H2052,http://www.ebi.ac.uk/efo/EFO_0002275,malignant epithelioid mesothelioma,http://www.ebi.ac.uk/efo/EFO_0006452,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2052,http://www.ebi.ac.uk/efo/EFO_0002275,malignant epithelioid mesothelioma,http://www.ebi.ac.uk/efo/EFO_0006452,Yes,other
NCI-H2066,run_NCI_H2066.1,NCI-H2066,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2066,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
NCI-H2073,run_NCI_H2073.1,NCI-H2073,http://www.ebi.ac.uk/efo/EFO_0006670,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2073,http://www.ebi.ac.uk/efo/EFO_0006670,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2081,run_NCI_H2081.1,NCI-H2081,http://www.ebi.ac.uk/efo/EFO_0002276,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2081,http://www.ebi.ac.uk/efo/EFO_0002276,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2085,run_NCI_H2085.1,NCI-H2085,NA,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2085,NA,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H2087,run_NCI_H2087.1,NCI-H2087,http://www.ebi.ac.uk/efo/EFO_0002277,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2087,http://www.ebi.ac.uk/efo/EFO_0002277,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H209,run_NCI_H209.1,NCI-H209,http://www.ebi.ac.uk/efo/EFO_0006671,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H209,http://www.ebi.ac.uk/efo/EFO_0006671,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2106,run_NCI_H2106.1,NCI-H2106,http://www.ebi.ac.uk/efo/EFO_0006672,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2106,http://www.ebi.ac.uk/efo/EFO_0006672,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H211,run_NCI_H211.1,NCI-H211,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H211,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2110,run_NCI_H2110.1,NCI-H2110,http://www.ebi.ac.uk/efo/EFO_0006673,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2110,http://www.ebi.ac.uk/efo/EFO_0006673,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H2122,run_NCI_H2122.5,NCI-H2122,http://www.ebi.ac.uk/efo/EFO_0002279,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2122,http://www.ebi.ac.uk/efo/EFO_0002279,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2126,run_NCI_H2126.1,NCI-H2126,http://www.ebi.ac.uk/efo/EFO_0002280,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2126,http://www.ebi.ac.uk/efo/EFO_0002280,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
NCI-H2170,run_NCI_H2170.1,NCI-H2170,http://www.ebi.ac.uk/efo/EFO_0002281,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2170,http://www.ebi.ac.uk/efo/EFO_0002281,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
NCI-H2171,run_NCI_H2171.1,NCI-H2171,http://www.ebi.ac.uk/efo/EFO_0002282,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2171,http://www.ebi.ac.uk/efo/EFO_0002282,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2172,run_NCI_H2172.1,NCI-H2172,http://www.ebi.ac.uk/efo/EFO_0006675,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2172,http://www.ebi.ac.uk/efo/EFO_0006675,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
NCI-H2196,run_NCI_H2196.1,NCI-H2196,http://www.ebi.ac.uk/efo/EFO_0006676,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2196,http://www.ebi.ac.uk/efo/EFO_0006676,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2227,run_NCI_H2227.1,NCI-H2227,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2227,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2228,run_NCI_H2228.1,NCI-H2228,http://www.ebi.ac.uk/efo/EFO_0002284,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2228,http://www.ebi.ac.uk/efo/EFO_0002284,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H226,run_NCI_H226.5,NCI-H226,http://www.ebi.ac.uk/efo/EFO_0002285,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H226,http://www.ebi.ac.uk/efo/EFO_0002285,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
NCI-H2286,run_NCI_H2286.1,NCI-H2286,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2286,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
NCI-H2291,run_NCI_H2291.1,NCI-H2291,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2291,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H23,run_NCI_H23.2,NCI-H23,http://www.ebi.ac.uk/efo/EFO_0002286,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H23,http://www.ebi.ac.uk/efo/EFO_0002286,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2342,run_NCI_H2342.5,NCI-H2342,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2342,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
NCI-H2347,run_NCI_H2347.1,NCI-H2347,http://www.ebi.ac.uk/efo/EFO_0002287,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,NCI-H2347,http://www.ebi.ac.uk/efo/EFO_0002287,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
