Gene,Drug,test.ROC.AUC,Varimp.Score
FSTL3,Nutlin-3,0.875,86.25355359
GJB3,Nutlin-3,0.875,86.25355359
HTRA1,Nutlin-3,0.875,86.25355359
KRT19,Nutlin-3,0.875,86.25355359
LAMC1,Nutlin-3,0.875,86.25355359
LGALS1,Nutlin-3,0.875,86.25355359
LIG3,Nutlin-3,0.875,86.25355359
NET1,Nutlin-3,0.875,86.25355359
NUFIP1,Nutlin-3,0.875,86.25355359
PLEK2,Nutlin-3,0.875,86.25355359
RAP2B,Nutlin-3,0.875,86.25355359
SERPINB5,Nutlin-3,0.875,86.25355359
SMC4,Nutlin-3,0.875,86.25355359
SPARC,Nutlin-3,0.875,86.25355359
TTK,Nutlin-3,0.875,86.25355359
PANX1,Nutlin-3,1,89.1195818
ADAM8,Nutlin-3,1,82.79404249
APLP1,Nutlin-3,1,82.79404249
COL6A2,Nutlin-3,1,82.79404249
CXCL1,Nutlin-3,1,82.79404249
CXCL8,Nutlin-3,1,82.79404249
DHCR24,Nutlin-3,1,82.79404249
EIF4E,Nutlin-3,1,82.79404249
EPB41,Nutlin-3,1,82.79404249
ETS2,Nutlin-3,1,82.79404249
FDFT1,Nutlin-3,1,82.79404249
KIF15,Nutlin-3,1,82.79404249
MAP7,Nutlin-3,1,82.79404249
MID1IP1,Nutlin-3,1,82.79404249
NMI,Nutlin-3,1,82.79404249
NUSAP1,Nutlin-3,1,82.79404249
PITPNB,Nutlin-3,1,82.79404249
PLK4,Nutlin-3,1,100
PPA1,Nutlin-3,1,82.79404249
PSMC6,Nutlin-3,1,82.79404249
PTPN6,Nutlin-3,1,82.79404249
RAD1,Nutlin-3,1,82.79404249
RFC4,Nutlin-3,1,98.49076399
RPL14,Nutlin-3,1,82.79404249
SCD,Nutlin-3,1,82.79404249
SDC1,Nutlin-3,1,82.79404249
SH2B1,Nutlin-3,1,82.79404249
SLC27A2,Nutlin-3,1,82.79404249
SLC37A4,Nutlin-3,1,82.79404249
SNRPA,Nutlin-3,1,82.79404249
SVIL,Nutlin-3,1,100
TMPRSS6,Nutlin-3,1,82.79404249
XRCC6,Nutlin-3,1,82.79404249
ADCY9,Nutlin-3,1,84.06274775
CD82,Nutlin-3,1,84.06274775
CDK1,Nutlin-3,1,84.06274775
CSE1L,Nutlin-3,1,92.79755537
EIF2S1,Nutlin-3,1,84.06274775
EXOSC8,Nutlin-3,1,84.06274775
GEMIN4,Nutlin-3,1,84.06274775
HMGA1,Nutlin-3,1,84.06274775
HMGB2,Nutlin-3,1,84.06274775
KIF20B,Nutlin-3,1,84.06274775
KRT17,Nutlin-3,1,84.06274775
MAPK13,Nutlin-3,1,84.06274775
NUP153,Nutlin-3,1,84.06274775
PGAM2,Nutlin-3,1,84.06274775
PRDX3,Nutlin-3,1,100
RPA1,Nutlin-3,1,84.06274775
TFDP1,Nutlin-3,1,84.06274775
TIPIN,Nutlin-3,1,84.06274775
TRIP13,Nutlin-3,1,84.06274775
UBE2C,Nutlin-3,1,84.06274775
CDH2,Nutlin-3,1,100
CTGF,Nutlin-3,1,85.12839665
ETS1,Nutlin-3,1,85.12839665
ETV4,Nutlin-3,1,98.69552396
ING3,Nutlin-3,1,100
ITGA5,Nutlin-3,1,85.12839665
OCEL1,Nutlin-3,1,85.12839665
SERBP1,Nutlin-3,1,100
TGFB1,Nutlin-3,1,98.69552396
TNNT1,Nutlin-3,1,85.12839665
BUB3,Nutlin-3,0.875,89.38220746
CBX3,Nutlin-3,0.875,100
EPB41L2,Nutlin-3,0.875,89.38220746
ATAD2,Nutlin-3,0.875,82.79404249
DDX21,Nutlin-3,0.875,82.79404249
IL15,Nutlin-3,0.875,82.79404249
ITGB2,Nutlin-3,0.875,82.79404249
ITGB5,Nutlin-3,0.875,82.79404249
KCNH1,Nutlin-3,0.875,96.98152798
KPNA2,Nutlin-3,0.875,82.79404249
MEST,Nutlin-3,0.875,100
NUDT15,Nutlin-3,0.875,100
PLK1,Nutlin-3,0.875,82.79404249
PLXNB2,Nutlin-3,0.875,82.79404249
STIL,Nutlin-3,0.875,82.79404249
TNFRSF11B,Nutlin-3,0.875,82.79404249
TUBGCP2,Nutlin-3,0.875,82.79404249
CASP9,Nutlin-3,1,87.02283667
PROS1,Nutlin-3,1,100
MDK,Nutlin-3,1,100
PDS5B,Nutlin-3,1,84.31301645
ADAM12,Nutlin-3,1,82.79404249
AKAP12,Nutlin-3,1,82.79404249
APP,Nutlin-3,1,98.49076399
CAPN5,Nutlin-3,1,82.79404249
CNTRL,Nutlin-3,1,82.79404249
CORO1A,Nutlin-3,1,98.49076399
CSNK1D,Nutlin-3,1,82.79404249
EZR,Nutlin-3,1,82.79404249
FGD4,Nutlin-3,1,82.79404249
FOSL1,Nutlin-3,1,82.79404249
KIF4A,Nutlin-3,1,100
MELK,Nutlin-3,1,82.79404249
NUDT21,Nutlin-3,1,82.79404249
PKP3,Nutlin-3,1,82.79404249
PSMC2,Nutlin-3,1,82.79404249
RBL1,Nutlin-3,1,82.79404249
RETSAT,Nutlin-3,1,82.79404249
RFC3,Nutlin-3,1,82.79404249
RPS6KA5,Nutlin-3,1,82.79404249
SOS1,Nutlin-3,1,82.79404249
ST14,Nutlin-3,1,82.79404249
THBS2,Nutlin-3,1,98.49076399
TSC2,Nutlin-3,1,82.79404249
UBE2L3,Nutlin-3,1,82.79404249
IGF1,Nutlin-3,0.875,91.76700047
DST,Nutlin-3,1,84.06274775
HAS2,Nutlin-3,1,100
LAMC2,Nutlin-3,1,100
AREG,Nutlin-3,1,82.79404249
AURKB,Nutlin-3,1,82.79404249
BAK1,Nutlin-3,1,98.49076399
BASP1,Nutlin-3,1,82.79404249
CFI,Nutlin-3,1,98.49076399
CTTN,Nutlin-3,1,82.79404249
DBF4,Nutlin-3,1,82.79404249
F2RL1,Nutlin-3,1,82.79404249
FAM120A,Nutlin-3,1,82.79404249
G3BP1,Nutlin-3,1,82.79404249
HMGB3,Nutlin-3,1,82.79404249
HMMR,Nutlin-3,1,82.79404249
INHBA,Nutlin-3,1,82.79404249
JAG2,Nutlin-3,1,82.79404249
LSM7,Nutlin-3,1,82.79404249
MLH1,Nutlin-3,1,82.79404249
PABPC1,Nutlin-3,1,82.79404249
PSMD13,Nutlin-3,1,82.79404249
PWP1,Nutlin-3,1,98.49076399
SERPINB2,Nutlin-3,1,82.79404249
SRD5A1,Nutlin-3,1,82.79404249
TPX2,Nutlin-3,1,82.79404249
TRIM29,Nutlin-3,1,82.79404249
BAG1,Nutlin-3,1,88.033219
GALNT3,Nutlin-3,1,88.033219
MTHFD2,Nutlin-3,1,89.38220746
MYLK,Nutlin-3,1,100
NCK1,Nutlin-3,1,89.38220746
RICTOR,Nutlin-3,1,88.033219
SLC16A1,Nutlin-3,1,88.033219
CKAP5,Nutlin-3,0.875,100
BRCA2,Nutlin-3,1,82.79404249
CSTF2,Nutlin-3,1,82.79404249
DEPDC1,Nutlin-3,1,82.79404249
ECT2,Nutlin-3,1,100
ICAM1,Nutlin-3,1,82.79404249
IGFBP2,Nutlin-3,1,100
ST6GALNAC2,Nutlin-3,1,96.98152798
STARD7,Nutlin-3,1,82.79404249
TFPI2,Nutlin-3,1,82.79404249
WRAP73,Nutlin-3,1,98.49076399
ACTA2,Nutlin-3,1,85.3198951
AKT2,Nutlin-3,1,85.3198951
ANLN,Nutlin-3,1,85.3198951
CFD,Nutlin-3,1,85.3198951
COL4A1,Nutlin-3,1,85.3198951
CTSO,Nutlin-3,1,85.3198951
EI24,Nutlin-3,1,85.3198951
EPHA2,Nutlin-3,1,85.3198951
HDAC9,Nutlin-3,1,85.3198951
MT2A,Nutlin-3,1,85.3198951
PCDH7,Nutlin-3,1,85.3198951
RBBP8,Nutlin-3,1,85.3198951
SCNN1A,Nutlin-3,1,85.3198951
SFPQ,Nutlin-3,1,85.3198951
TOP1,Nutlin-3,1,85.3198951
TSPAN13,Nutlin-3,1,85.3198951
WRN,Nutlin-3,1,85.3198951
ANPEP,Nutlin-3,1,85.12839665
BMP1,Nutlin-3,1,85.12839665
ENO2,Nutlin-3,1,85.12839665
MPZL2,Nutlin-3,1,85.12839665
NDUFAB1,Nutlin-3,1,100
POLQ,Nutlin-3,1,85.12839665
SORBS3,Nutlin-3,1,85.12839665
USP1,Nutlin-3,1,97.39104792
AURKA,Nutlin-3,1,89.88046779
ATP6V1D,Nutlin-3,1,91.96687077
CDCA8,Nutlin-3,1,91.96687077
CEP131,Nutlin-3,1,91.96687077
DIAPH3,Nutlin-3,1,91.96687077
EED,Nutlin-3,1,91.96687077
G0S2,Nutlin-3,1,91.96687077
IL1A,Nutlin-3,1,91.96687077
LDLR,Nutlin-3,1,91.96687077
PTX3,Nutlin-3,1,91.96687077
PDK1,Nutlin-3,1,90.57712989
PLAU,Nutlin-3,1,100
BAIAP2,Nutlin-3,1,85.3198951
CSRP1,Nutlin-3,1,85.3198951
INCENP,Nutlin-3,1,85.3198951
KIF2C,Nutlin-3,1,85.3198951
KIFC3,Nutlin-3,1,85.3198951
MAP2K3,Nutlin-3,1,85.3198951
SRSF10,Nutlin-3,1,85.3198951
VBP1,Nutlin-3,1,85.3198951
BCR,Nutlin-3,0.875,88.30576504
ST5,Nutlin-3,0.875,86.97302264
TGFBR3,Nutlin-3,0.875,86.97302264
H2AFZ,Nutlin-3,0.875,100
RRM2,Nutlin-3,0.875,82.20079246
UBA2,Nutlin-3,0.875,82.20079246
C1QBP,Nutlin-3,1,100
CCT7,Nutlin-3,1,83.93374153
CENPE,Nutlin-3,1,83.93374153
EXOSC7,Nutlin-3,1,83.93374153
FN1,Nutlin-3,1,83.93374153
GNL3,Nutlin-3,1,83.93374153
HNRNPA2B1,Nutlin-3,1,83.93374153
IPO7,Nutlin-3,1,83.93374153
PPP1R3C,Nutlin-3,1,83.93374153
PSMA1,Nutlin-3,1,83.93374153
PSMB3,Nutlin-3,1,83.93374153
PTGES3,Nutlin-3,1,83.93374153
RRP9,Nutlin-3,1,98.59073371
SMARCC1,Nutlin-3,1,98.59073371
SNRPG,Nutlin-3,1,83.93374153
SRSF7,Nutlin-3,1,83.93374153
STIP1,Nutlin-3,1,83.93374153
SYNCRIP,Nutlin-3,1,83.93374153
TFRC,Nutlin-3,1,83.93374153
UPF1,Nutlin-3,1,83.93374153
XPO1,Nutlin-3,1,83.93374153
CEP57,Nutlin-3,1,82.79404249
DKC1,Nutlin-3,1,82.79404249
LLGL1,Nutlin-3,1,82.79404249
MYL9,Nutlin-3,1,82.79404249
RAB3GAP1,Nutlin-3,1,82.79404249
SH3BGR,Nutlin-3,1,82.79404249
TRIO,Nutlin-3,1,82.79404249
YWHAE,Nutlin-3,1,82.79404249
ACSL3,Nutlin-3,0.875,82.79404249
ATF3,Nutlin-3,0.875,82.79404249
BIRC5,Nutlin-3,0.875,82.79404249
CCR7,Nutlin-3,0.875,91.39702125
DDIT4,Nutlin-3,0.875,82.79404249
EGR1,Nutlin-3,0.875,82.79404249
EIF1,Nutlin-3,0.875,100
GADD45A,Nutlin-3,0.875,82.79404249
HMBS,Nutlin-3,0.875,82.79404249
KIF11,Nutlin-3,0.875,82.79404249
LTA4H,Nutlin-3,0.875,82.79404249
NCAPD2,Nutlin-3,0.875,82.79404249
RAD21,Nutlin-3,0.875,82.79404249
RPL22,Nutlin-3,0.875,82.79404249
RRAD,Nutlin-3,0.875,98.49076399
SPEG,Nutlin-3,0.875,82.79404249
TNFAIP8,Nutlin-3,0.875,82.79404249
ALMS1,Nutlin-3,1,84.15701143
CCT6A,Nutlin-3,1,100
CENPA,Nutlin-3,1,98.61031803
EEF1E1,Nutlin-3,1,84.15701143
EMP1,Nutlin-3,1,84.15701143
FBXO5,Nutlin-3,1,84.15701143
SRPK1,Nutlin-3,1,84.15701143
TARDBP,Nutlin-3,1,84.15701143
TOP2A,Nutlin-3,1,84.15701143
VTN,Nutlin-3,1,84.15701143
ITGBL1,Nutlin-3,1,86.6708361
KIF23,Nutlin-3,1,86.6708361
RUVBL2,Nutlin-3,1,100
NDC80,Nutlin-3,1,82.79404249
NOTCH2,Nutlin-3,1,82.79404249
LBR,Nutlin-3,0.875,87.38838945
PRKAB1,Nutlin-3,0.875,88.55888779
CEP72,Nutlin-3,1,82.79404249
DNMT1,Nutlin-3,1,82.79404249
EIF4H,Nutlin-3,1,82.79404249
FHL1,Nutlin-3,1,100
RAN,Nutlin-3,1,82.79404249
CDKN3,Nutlin-3,1,90.22929698
BRCA1,Nutlin-3,1,80.75756912
CCT4,Nutlin-3,1,80.75756912
DLG1,Nutlin-3,1,80.75756912
PRIM2,Nutlin-3,1,80.75756912
SMC2,Nutlin-3,1,80.75756912
ARHGEF3,Nutlin-3,0.875,91.19040234
COX7A1,Nutlin-3,0.875,90.00084539
NUP50,Nutlin-3,0.875,84.40966488
RDH11,Nutlin-3,0.875,88.81128844
PTGER4,Nutlin-3,1,85.3198951
DHX15,Nutlin-3,1,85.3198951
GPI,Nutlin-3,1,85.3198951
KPTN,Nutlin-3,1,85.3198951
MAD2L1,Nutlin-3,1,98.71232142
RCHY1,Nutlin-3,1,85.3198951
CLNS1A,Nutlin-3,1,100
CLU,Nutlin-3,1,85.12839665
HMGN2,Nutlin-3,1,85.12839665
M6PR,Nutlin-3,1,85.12839665
PVR,Nutlin-3,1,85.12839665
TUBGCP3,Nutlin-3,1,98.69552396
IFRD1,Nutlin-3,1,85.3198951
RPS3,Nutlin-3,1,85.3198951
STC1,Nutlin-3,1,85.3198951
EWSR1,Nutlin-3,0.875,100
LDHA,Nutlin-3,0.875,100
NAMPT,Nutlin-3,0.875,100
PLOD2,Nutlin-3,0.875,100
SKAP2,Nutlin-3,0.875,100
TNFAIP3,Nutlin-3,0.875,100
CXCL2,Nutlin-3,1,82.79404249
FOXO4,Nutlin-3,1,100
KIF22,Nutlin-3,1,82.79404249
MRAS,Nutlin-3,1,82.79404249
MTF2,Nutlin-3,1,82.79404249
TRA2B,Nutlin-3,1,82.79404249
ANP32E,Nutlin-3,1,84.06274775
CKS2,Nutlin-3,1,84.06274775
HSPD1,Nutlin-3,1,98.46763702
SMC3,Nutlin-3,1,84.06274775
DUSP6,Nutlin-3,1,85.12839665
EIF4G2,Nutlin-3,1,85.12839665
HRAS,Nutlin-3,1,85.12839665
P2RY2,Nutlin-3,1,85.12839665
PRPS1,Nutlin-3,1,85.12839665
SET,Nutlin-3,1,85.12839665
SNRPD1,Nutlin-3,1,85.12839665
ILF3,Nutlin-3,1,85.3198951
MYBL2,Nutlin-3,1,85.3198951
NNMT,Nutlin-3,1,85.3198951
PPP1R8,Nutlin-3,1,85.3198951
PRPS2,Nutlin-3,1,85.3198951
RRM1,Nutlin-3,1,85.3198951
TP63,Nutlin-3,1,85.3198951
F10,Nutlin-3,1,83.93374153
SORD,Nutlin-3,1,83.93374153
YWHAQ,Nutlin-3,1,83.93374153
PGK1,Nutlin-3,0.875,93.47760517
RPL34,Nutlin-3,0.8125,83.2533067
ADM,Nutlin-3,0.875,82.79404249
ASS1,Nutlin-3,0.875,82.79404249
CRIP2,Nutlin-3,0.875,98.49076399
ERH,Nutlin-3,0.875,82.79404249
HMGCS1,Nutlin-3,0.875,82.79404249
IL18,Nutlin-3,0.875,82.79404249
MTHFD2L,Nutlin-3,0.875,82.79404249
RXRA,Nutlin-3,0.875,82.79404249
MATN2,Nutlin-3,0.875,82.79404249
MST1,Nutlin-3,0.875,82.79404249
ABI3BP,Nutlin-3,1,92.07850572
DAPP1,Nutlin-3,1,92.07850572
EIF3J,Nutlin-3,1,92.07850572
SPP1,Nutlin-3,1,92.07850572
C3,Nutlin-3,0.875,84.06274775
CCND1,Nutlin-3,0.875,84.06274775
DHCR7,Nutlin-3,0.875,84.06274775
LIF,Nutlin-3,0.875,84.06274775
NCBP1,Nutlin-3,0.875,84.06274775
VEGFC,Nutlin-3,0.875,84.06274775
AGRN,Nutlin-3,1,82.79404249
ITGA2,Nutlin-3,1,82.79404249
KCNMB2,Nutlin-3,1,82.79404249
POLD3,Nutlin-3,1,82.79404249
RPA3,Nutlin-3,1,82.79404249
SPC25,Nutlin-3,0.875,88.30576504
TMPO,Nutlin-3,0.875,100
HSPA8,Nutlin-3,1,82.79404249
RALBP1,Nutlin-3,1,98.49076399
ASS1,NVP-AEW541,0.9,85.13349924
CD276,NVP-AEW541,0.9,85.13349924
CXCL2,NVP-AEW541,0.9,85.13349924
DCXR,NVP-AEW541,0.9,85.13349924
DHRS7,NVP-AEW541,0.9,85.13349924
GCH1,NVP-AEW541,0.9,100
GCLM,NVP-AEW541,0.9,85.13349924
HERC6,NVP-AEW541,0.9,85.13349924
IFIH1,NVP-AEW541,0.9,85.13349924
IL15,NVP-AEW541,0.9,85.13349924
LITAF,NVP-AEW541,0.9,85.13349924
MGST1,NVP-AEW541,0.9,85.13349924
NCAPH2,NVP-AEW541,0.9,85.13349924
NLGN2,NVP-AEW541,0.9,85.13349924
NOP16,NVP-AEW541,0.9,85.13349924
OSMR,NVP-AEW541,0.9,85.13349924
PPM1G,NVP-AEW541,0.9,85.13349924
RAB17,NVP-AEW541,0.9,98.57058951
RAB27A,NVP-AEW541,0.9,85.13349924
SERTAD1,NVP-AEW541,0.9,85.13349924
SIK1,NVP-AEW541,0.9,98.57058951
TPM1,NVP-AEW541,0.9,85.13349924
VCL,NVP-AEW541,0.9,85.13349924
ALDH3A2,NVP-AEW541,0.9,85.3198951
BEST1,NVP-AEW541,0.9,85.3198951
CAP1,NVP-AEW541,0.9,98.71232142
EIF2AK2,NVP-AEW541,0.9,85.3198951
FEN1,NVP-AEW541,0.9,85.3198951
HR,NVP-AEW541,0.9,98.71232142
IFIT3,NVP-AEW541,0.9,85.3198951
MLYCD,NVP-AEW541,0.9,85.3198951
NR4A2,NVP-AEW541,0.9,85.3198951
PLAG1,NVP-AEW541,0.9,98.71232142
PNRC1,NVP-AEW541,0.9,100
PSMD14,NVP-AEW541,0.9,85.3198951
SAMD9,NVP-AEW541,0.9,85.3198951
SLC22A5,NVP-AEW541,0.9,85.3198951
SMTN,NVP-AEW541,0.9,85.3198951
SOD2,NVP-AEW541,0.9,100
TRIM14,NVP-AEW541,0.9,85.3198951
TSKU,NVP-AEW541,0.9,85.3198951
TXNRD1,NVP-AEW541,0.9,85.3198951
C1S,NVP-AEW541,1,93.28145486
IMP4,NVP-AEW541,1,93.28145486
ITGB1,NVP-AEW541,1,93.28145486
NAMPT,NVP-AEW541,1,93.28145486
PGD,NVP-AEW541,1,93.28145486
SERBP1,NVP-AEW541,1,93.28145486
SRSF2,NVP-AEW541,1,93.28145486
UGDH,NVP-AEW541,1,93.28145486
VDAC1,NVP-AEW541,1,93.28145486
ARPP19,NVP-AEW541,0.9,82.79404249
C1R,NVP-AEW541,0.9,100
CADM1,NVP-AEW541,0.9,82.79404249
CCND3,NVP-AEW541,0.9,82.79404249
CHPT1,NVP-AEW541,0.9,82.79404249
ENO1,NVP-AEW541,0.9,82.79404249
ERH,NVP-AEW541,0.9,82.79404249
FOSL2,NVP-AEW541,0.9,82.79404249
FTL,NVP-AEW541,0.9,82.79404249
GPD2,NVP-AEW541,0.9,82.79404249
KIF1B,NVP-AEW541,0.9,82.79404249
LAMA2,NVP-AEW541,0.9,91.39702125
PARP14,NVP-AEW541,0.9,82.79404249
PPIA,NVP-AEW541,0.9,82.79404249
PTGR1,NVP-AEW541,0.9,82.79404249
RPS6,NVP-AEW541,0.9,89.88778523
TMEM45A,NVP-AEW541,0.9,82.79404249
STAG3,NVP-AEW541,0.8,88.033219
TAOK2,NVP-AEW541,0.8,88.033219
TPM2,NVP-AEW541,0.8,100
COL5A2,NVP-AEW541,0.95,86.43287269
CREG1,NVP-AEW541,0.95,86.43287269
CTNND1,NVP-AEW541,0.95,86.43287269
ICAM2,NVP-AEW541,0.95,86.43287269
MAPK12,NVP-AEW541,0.95,86.43287269
1-Mar,NVP-AEW541,0.95,86.43287269
MYL12B,NVP-AEW541,0.95,86.43287269
PDLIM1,NVP-AEW541,0.95,86.43287269
RRAS,NVP-AEW541,0.95,86.43287269
SLC19A2,NVP-AEW541,0.95,86.43287269
SYT12,NVP-AEW541,0.95,100
TAGLN,NVP-AEW541,0.95,86.43287269
ACVR2A,NVP-AEW541,0.8,86.25355359
CCL20,NVP-AEW541,0.8,86.25355359
IL15RA,NVP-AEW541,0.8,86.25355359
IL18,NVP-AEW541,0.8,100
MAP4K2,NVP-AEW541,0.8,86.25355359
RAB40C,NVP-AEW541,0.8,86.25355359
RASA1,NVP-AEW541,0.8,86.25355359
SLC3A2,NVP-AEW541,0.8,86.25355359
SPR,NVP-AEW541,0.8,100
TPM3,NVP-AEW541,0.8,86.25355359
DUSP5,NVP-AEW541,0.9,85.12839665
EIF1AX,NVP-AEW541,0.9,85.12839665
ELOVL5,NVP-AEW541,0.9,85.12839665
FABP5,NVP-AEW541,0.9,85.12839665
GLO1,NVP-AEW541,0.9,85.12839665
HADHB,NVP-AEW541,0.9,85.12839665
MTHFD2,NVP-AEW541,0.9,85.12839665
MTHFD2L,NVP-AEW541,0.9,85.12839665
PLK4,NVP-AEW541,0.9,85.12839665
PSMB5,NVP-AEW541,0.9,85.12839665
SSB,NVP-AEW541,0.9,98.69552396
SSBP1,NVP-AEW541,0.9,85.12839665
TNC,NVP-AEW541,0.9,85.12839665
TSPYL2,NVP-AEW541,0.9,85.12839665
AKR1B10,NVP-AEW541,1,87.57527112
ALDH3A1,NVP-AEW541,1,87.57527112
APP,NVP-AEW541,1,87.57527112
GCLC,NVP-AEW541,1,87.57527112
IDH1,NVP-AEW541,1,87.57527112
MAPK14,NVP-AEW541,1,100
NFAT5,NVP-AEW541,1,87.57527112
PC,NVP-AEW541,1,87.57527112
PDLIM7,NVP-AEW541,1,87.57527112
PREB,NVP-AEW541,1,87.57527112
VCAN,NVP-AEW541,1,87.57527112
ABCC2,NVP-AEW541,0.85,82.79404249
CDSN,NVP-AEW541,0.85,82.79404249
IL32,NVP-AEW541,0.85,82.79404249
INHBE,NVP-AEW541,0.85,82.79404249
MAN1A1,NVP-AEW541,0.85,96.98152798
MEF2D,NVP-AEW541,0.85,82.79404249
PKD1,NVP-AEW541,0.85,100
RIPK1,NVP-AEW541,0.85,82.79404249
SET,NVP-AEW541,0.85,82.79404249
TCP1,NVP-AEW541,0.85,100
YWHAQ,NVP-AEW541,0.85,82.79404249
CNN2,NVP-AEW541,0.85,85.37094044
CYB5A,NVP-AEW541,0.85,85.37094044
DNAJB4,NVP-AEW541,0.85,85.37094044
HDDC2,NVP-AEW541,0.85,100
HMOX1,NVP-AEW541,0.85,85.37094044
IDUA,NVP-AEW541,0.85,85.37094044
KCNMB2,NVP-AEW541,0.85,85.37094044
LDLR,NVP-AEW541,0.85,85.37094044
ORC2,NVP-AEW541,0.85,85.37094044
PLAU,NVP-AEW541,0.85,85.37094044
SORD,NVP-AEW541,0.85,85.37094044
ARID5B,NVP-AEW541,0.9,82.79404249
CEBPA,NVP-AEW541,0.9,82.79404249
CHRNB1,NVP-AEW541,0.9,82.79404249
CTH,NVP-AEW541,0.9,82.79404249
DUT,NVP-AEW541,0.9,82.79404249
EDIL3,NVP-AEW541,0.9,98.49076399
EIF4E,NVP-AEW541,0.9,82.79404249
FLNC,NVP-AEW541,0.9,82.79404249
FOXC1,NVP-AEW541,0.9,82.79404249
MDH1,NVP-AEW541,0.9,82.79404249
NR4A3,NVP-AEW541,0.9,82.79404249
PSME1,NVP-AEW541,0.9,82.79404249
NF2,NVP-AEW541,0.9,88.033219
RXRA,NVP-AEW541,0.9,94.08160648
ADM,NVP-AEW541,0.8,81.42803519
BAG3,NVP-AEW541,0.8,81.42803519
CBX3,NVP-AEW541,0.8,81.42803519
CCT4,NVP-AEW541,0.8,94.40542656
CTNNA1,NVP-AEW541,0.8,94.40542656
DKC1,NVP-AEW541,0.8,81.42803519
EVL,NVP-AEW541,0.8,81.42803519
FAM120A,NVP-AEW541,0.8,81.42803519
GNA15,NVP-AEW541,0.8,81.42803519
HNRNPR,NVP-AEW541,0.8,81.42803519
IFIT1,NVP-AEW541,0.8,81.42803519
OAS3,NVP-AEW541,0.8,81.42803519
PMEPA1,NVP-AEW541,0.8,81.42803519
RHOG,NVP-AEW541,0.8,81.42803519
RRAD,NVP-AEW541,0.8,95.65319963
SCD,NVP-AEW541,0.8,81.42803519
SEMA4D,NVP-AEW541,0.8,81.42803519
SERPINB2,NVP-AEW541,0.8,81.42803519
SNRPG,NVP-AEW541,0.8,94.40542656
TARDBP,NVP-AEW541,0.8,81.42803519
TIMP3,NVP-AEW541,0.8,81.42803519
XDH,NVP-AEW541,0.8,81.42803519
AKR1C2,NVP-AEW541,0.85,82.79404249
APOL6,NVP-AEW541,0.85,82.79404249
ECI2,NVP-AEW541,0.85,82.79404249
FBLN1,NVP-AEW541,0.85,82.79404249
HSD17B7,NVP-AEW541,0.85,82.79404249
IFNGR1,NVP-AEW541,0.85,82.79404249
NUDT15,NVP-AEW541,0.85,82.79404249
NUFIP1,NVP-AEW541,0.85,82.79404249
OCEL1,NVP-AEW541,0.85,82.79404249
EXOSC2,NVP-AEW541,0.875,86.56290972
HSPE1,NVP-AEW541,0.875,100
PDHA1,NVP-AEW541,0.875,86.56290972
POLG2,NVP-AEW541,0.875,86.56290972
PSMA2,NVP-AEW541,0.875,86.56290972
TFRC,NVP-AEW541,0.875,86.56290972
XPO1,NVP-AEW541,0.875,86.56290972
ACSS1,NVP-AEW541,0.85,82.79404249
ADAM15,NVP-AEW541,0.85,82.79404249
APLP1,NVP-AEW541,0.85,82.79404249
CCT5,NVP-AEW541,0.85,82.79404249
IFITM3,NVP-AEW541,0.85,82.79404249
NAV2,NVP-AEW541,0.85,82.79404249
TMEM140,NVP-AEW541,0.85,82.79404249
COX7A1,NVP-AEW541,0.9,100
DPYSL3,NVP-AEW541,0.9,100
DTNA,NVP-AEW541,0.9,100
FAM162A,NVP-AEW541,0.9,100
NOD1,NVP-AEW541,0.9,100
RFC4,NVP-AEW541,0.9,100
RPL14,NVP-AEW541,0.9,100
SLC7A5,NVP-AEW541,0.9,100
TGFBI,NVP-AEW541,0.9,100
EIF2S1,NVP-AEW541,0.9,89.38220746
CA12,NVP-AEW541,0.9,85.3198951
GEM,NVP-AEW541,0.9,85.3198951
PDK3,NVP-AEW541,0.9,85.3198951
RAB1A,NVP-AEW541,0.9,100
STEAP3,NVP-AEW541,0.9,100
ABCC3,NVP-AEW541,1,100
AKR1C3,NVP-AEW541,1,98.67828247
CYP4F11,NVP-AEW541,1,84.93183606
EIF3J,NVP-AEW541,1,84.93183606
GSR,NVP-AEW541,1,100
ICAM1,NVP-AEW541,1,98.67828247
NQO1,NVP-AEW541,1,84.93183606
PGAM2,NVP-AEW541,1,84.93183606
SLC6A8,NVP-AEW541,1,84.93183606
SLC7A11,NVP-AEW541,1,84.93183606
SRXN1,NVP-AEW541,1,84.93183606
TFAP2C,NVP-AEW541,1,84.93183606
ACP1,NVP-AEW541,0.95,100
EGLN3,NVP-AEW541,0.95,85.3198951
GLA,NVP-AEW541,0.95,85.3198951
MRTO4,NVP-AEW541,0.95,85.3198951
NOC4L,NVP-AEW541,0.95,85.3198951
SUPV3L1,NVP-AEW541,0.95,85.3198951
CPOX,NVP-AEW541,0.85,85.3198951
DMPK,NVP-AEW541,0.85,85.3198951
GBE1,NVP-AEW541,0.85,85.3198951
PSMC2,NVP-AEW541,0.85,85.3198951
RABEPK,NVP-AEW541,0.85,85.3198951
SMS,NVP-AEW541,0.85,85.3198951
CD47,NVP-AEW541,1,82.79404249
CXCL8,NVP-AEW541,1,82.79404249
KYNU,NVP-AEW541,1,82.79404249
LDHA,NVP-AEW541,1,82.79404249
MRAS,NVP-AEW541,1,82.79404249
NDRG1,NVP-AEW541,1,100
